Site ID,Planned Kiosk Type,Installation Status,PPT ID,Legacy ID,Borough,Council District,Community Board,Street Address,Cross Street 1,Cross Street 2,IxN Corner,Postcode,Zoning,Latitude,Longitude,Installation Complete,Activation Complete,Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
qu-01-125088,Link1.0,Live,125088,qu-01-125088,Queens,22,401,34-02 BROADWAY,34 STREET,35 STREET,SE,11106,C4-2A,40.760713,-73.922879,04/22/2017,06/08/2017,Astoria,4008830,4006220041,4005900,"(40.760713, -73.922879)"
bk-01-160081,Link5G_Ad,Live,,,Brooklyn,34,301,161 VARICK AVENUE,SCHOLES STREET,MESEROLE STREET,,11237,M3-1,40.711080,-73.928620,10/09/2024,03/14/2025,,,3029620001,44900,"(40.71108, -73.92862)"
qu-13-160016,Link5G_Ad,Live,,,Queens,23,413,264-21 UNION TURNPIKE,265th ST,264th ST,W,11004,R2A / C1-2,40.749170,-73.708140,02/29/2024,04/02/2025,Glen Oaks-Floral Park-New Hyde Park,4174076,4085400062,,"(40.74917, -73.70814)"
mn-04-122598,Link1.0,Live,122598,mn-04-122598,Manhattan,3,104,815 8 AVENUE,WEST 49 STREET,WEST 50 STREET,NW,10019,C6-4,40.761816,-73.986606,03/18/2016,04/27/2016,Clinton,1076203,1010400029,1012700,"(40.761816, -73.986606)"
mn-05-137210,Link1.0,Live,137210,mn-05-137210,Manhattan,4,105,410 MADISON AVENUE,EAST 48 STREET,EAST 49 STREET,NW,10017,C5-3,40.756742,-73.976530,04/30/2017,05/26/2017,Midtown-Midtown South,1035437,1012840014,1009400,"(40.756742, -73.97653)"
bk-02-126506,Link1.0,Live,126506,bk-02-126506,Brooklyn,33,302,339 LIVINGSTON STREET,FLATBUSH AVENUE,NEVINS STREET,NW,11217,C6-4,40.687649,-73.980424,11/13/2016,07/26/2017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000483,3001620001,3003700,"(40.687649, -73.980424)"
bx-02-160005,Link5G_NonAd,Live,,,Bronx,17,202,576 PROSPECT AVENUE,FOX STREET,SOUTHERN BOULEVARD,SE,10455,C1-4,40.812943,-73.904111,02/12/2024,05/03/2024,Longwood,,2026830108,,"(40.8129428, -73.9041112)"
mn-08-120980,Link1.0,Live,120980,mn-08-120980,Manhattan,4,108,1126 3 AVENUE,EAST 66 STREET,EAST 65 STREET,SW,10065,C1-9,40.765880,-73.963583,03/19/2016,04/22/2016,Upper East Side-Carnegie Hill,1042435,1014000040,1012000,"(40.76588, -73.963583)"
mn-12-131054,Link1.0,Live,131054,LINK-014400,Manhattan,10,112,151 NAGLE AVENUE,THAYER STREET,ARDEN STREET,MIDBLOCK,10040,C1-4,40.861094,-73.925852,02/07/2022,05/03/2022,Washington Heights North,1082762,1021730029,1028300,"(40.861094, -73.925852)"
mn-06-134374,Link1.0,Live,134374,mn-06-134374,Manhattan,2,106,479 2 AVENUE,EAST 27 STREET,EAST 26 STREET,NW,10016,C1-8A,40.740369,-73.979252,09/26/2017,11/15/2017,Murray Hill-Kips Bay,1019855,1009070025,1006600,"(40.740369, -73.979252)"
