Report Ending (weekly starting on Sundays),Number of Sessions,Average Session Length,Number of Unique Clients,TB Downloaded,TB Uploaded,Cumulative Bandwidth Utilization To Date (TB),Cumulative Sessions To Date,Cumulative Subscribers To Date
01/05/2020,23086410,00:04:07,683250,121.01,12.67,14353.83,2251215052,8461839
01/12/2020,23584159,00:04:07,640118,116.52,11.14,14501.59,2284581863,8502485
01/19/2020,22004022,00:04:07,592715,114.5,10.52,14626.62,2306585885,8536567
01/26/2020,20245042,00:04:15,602685,118.05,10.13,14754.79,2326830927,8571523
02/02/2020,22356460,00:04:11,617337,120.69,10.94,14886.42,2349187387,8615640
02/09/2020,21393239,00:04:12,618210,121.23,10.85,15018.51,2370580626,8654392
02/16/2020,21011376,00:04:14,612385,120.84,10.62,15149.96,2391592002,8694067
02/23/2020,22624158,00:04:13,596994,122.66,11.11,15283.73,2414216160,8739567
03/01/2020,22771143,00:04:14,609346,123.4,10.53,15418.32,2436987303,8783301
03/08/2020,22365295,00:04:13,601616,120.74,11.2,15549.59,2459352598,8822702
03/15/2020,20527249,00:04:23,550203,121.56,10.65,15681.81,2479879847,8853950
03/22/2020,7590442,00:05:18,357837,58.84,4.62,15745.26,2487470289,8865469
03/29/2020,4738574,00:06:13,269303,92.16,6.85,15844.27,2492208863,8872365
04/05/2020,4589253,00:06:20,254145,92.44,6.93,15943.64,2496798116,8879407
04/12/2020,4445147,00:06:24,243298,94.8,7.37,16045.8,2501305588,8886409
04/19/2020,4507472,00:06:19,243055,88.74,6.93,16141.47,2505750735,8893373
04/26/2020,4461598,00:06:21,242168,89.45,7.08,16238,2510212333,8900552
05/03/2020,4833406,00:05:57,255054,87.91,6.9,16332.8,2515045739,8908590
05/10/2020,4888953,00:06:00,254860,88.18,6.84,16427.82,2519934692,8916603
05/17/2020,5169365,00:05:50,262307,86.68,6.93,16521.43,2525104057,8925582
05/24/2020,5272603,00:05:44,268006,83.89,6.45,16611.78,2530376660,8935352
05/31/2020,5633095,00:05:30,280269,81.22,6.77,16699.77,2536009755,8946391
06/07/2020,8168000,00:05:15,320719,104.97,9.17,16813.91,2544177755,8955241
06/14/2020,6163299,00:05:05,293302,77.93,6.55,16898.4,2550341054,8964884
06/21/2020,6389732,00:05:04,302763,82.46,6.94,16987.8,2556730786,8974670
06/28/2020,6724902,00:04:59,313709,79.52,6.95,17074.26,2563455688,8983785
07/05/2020,6927619,00:04:45,320317,74.27,6.33,17154.87,2570383307,8993007
07/12/2020,6798038,00:04:42,321109,69.56,6.13,17230.57,2577181345,8999948
07/19/2020,6441690,00:04:39,336224,72.29,6.56,17309.42,2590475174,9012106
07/26/2020,6852139,00:04:48,326115,79.36,6.25,17395.02,2584033484,9023383
08/02/2020,6446406,00:04:47,333403,65.66,6.06,17466.75,2596921580,9034477
08/09/2020,6389489,00:04:49,331488,70,6.35,17543.09,2603311069,9037870
08/16/2020,6351869,00:04:46,324810,75.13,6.7,17624.92,2609662938,9059026
08/23/2020,6676620,00:04:45,333338,77.1,7.06,17709.09,2616339558,9048666
08/30/2020,6687770,00:04:44,332705,76.45,7.09,17792.63,2623027328,9084170
09/06/2020,6834866,00:04:43,340704,75.06,7.08,17874.77,2629862194,9072014
09/13/2020,6204376,00:05:43,340440,75.5,7.13,17957.39,2636066570,9095367
09/20/2020,6392008,00:05:56,374923,78.78,6.85,18044.12,2642458578,9108566
09/27/2020,6442356,00:05:56,402303,73.72,7.95,18124.68,2648900934,9123892
10/04/2020,6285801,00:05:51,384666,69.92,6.22,18200.82,2655181307,9138404
10/11/2020,6280373,00:05:51,373292,68.53,5.76,18275.11,2661467108,9152562
10/18/2020,5874135,00:05:52,359705,65.2,6.26,18346.57,2667341243,9164578
