,Week_date,Number of Sessions,Average Session Length,Number of Unique Clients,TB Downloaded,TB Uploaded,Cumulative Bandwidth Utilization To Date (TB),Cumulative Sessions To Date,Cumulative Subscribers To Date,sessions_outlier,sessions_per_client,activated,converted,data_usage_per_client(MG),seasonal_cohort,year,quarter,High_value,utility_usage_week,utility_segments
0,2020-01-05 05:00:00+00:00,23086410,00:04:07,683250,121.01,12.67,14353.83,2251215052,8461839,True,33.78911086717893,True,False,5.790419558519493,Winter,2020,1,False,False,Convenient Weeks
1,2020-01-12 05:00:00+00:00,23584159,00:04:07,640118,116.52,11.14,14501.59,2284581863,8502485,True,36.84345542540594,True,False,5.412955365506144,Winter,2020,1,False,False,Convenient Weeks
2,2020-01-19 05:00:00+00:00,22004022,00:04:07,592715,114.5,10.52,14626.62,2306585885,8536567,True,37.12411867423635,True,False,5.681688556755669,Winter,2020,1,False,False,Convenient Weeks
3,2020-01-26 05:00:00+00:00,20245042,00:04:15,602685,118.05,10.13,14754.79,2326830927,8571523,True,33.59141508416503,True,False,6.331426726602987,Winter,2020,1,False,False,Convenient Weeks
4,2020-02-02 05:00:00+00:00,22356460,00:04:11,617337,120.69,10.94,14886.42,2349187387,8615640,True,36.21435293850846,True,False,5.8877836652135445,Winter,2020,1,False,False,Convenient Weeks
5,2020-02-09 05:00:00+00:00,21393239,00:04:12,618210,121.23,10.85,15018.51,2370580626,8654392,True,34.605132560133285,True,False,6.173913169483126,Winter,2020,1,False,False,Convenient Weeks
6,2020-02-16 05:00:00+00:00,21011376,00:04:14,612385,120.84,10.62,15149.96,2391592002,8694067,True,34.31072936143113,True,False,6.256610704601165,Winter,2020,1,False,False,Convenient Weeks
7,2020-02-23 05:00:00+00:00,22624158,00:04:13,596994,122.66,11.11,15283.73,2414216160,8739567,True,37.896792932592284,True,False,5.912706231984412,Winter,2020,1,False,False,Convenient Weeks
8,2020-03-01 05:00:00+00:00,22771143,00:04:14,609346,123.4,10.53,15418.32,2436987303,8783301,True,37.36980795804026,True,False,5.881566858545485,Spring,2020,1,False,False,Convenient Weeks
9,2020-03-08 05:00:00+00:00,22365295,00:04:13,601616,120.74,11.2,15549.59,2459352598,8822702,True,37.17536601420175,True,False,5.899318564767422,Spring,2020,1,False,False,Convenient Weeks
